Output: /Users/raidenippen/Desktop/detect-model/data/real
Already collected: 5026 images

[Wikimedia] Collecting up to 5000 images (recursive)...

  Quality images:   8%|▊         | 84/1071 [04:03<51:45,  3.15s/it]  
  Quality images:   8%|▊         | 85/1071 [04:04<40:24,  2.46s/it]
  Quality images:   8%|▊         | 86/1071 [04:05<33:08,  2.02s/it]
  Quality images:   8%|▊         | 87/1071 [04:09<43:45,  2.67s/it]
  Quality images:   8%|▊         | 88/1071 [04:15<1:00:08,  3.67s/it]
  Quality images:   8%|▊         | 89/1071 [04:16<46:20,  2.83s/it]  
  Quality images:   8%|▊         | 90/1071 [04:24<1:09:11,  4.23s/it]
  Quality images:   8%|▊         | 91/1071 [04:24<50:54,  3.12s/it]  
  Quality images:   9%|▊         | 92/1071 [04:25<38:12,  2.34s/it]
  Quality images:   9%|▊         | 93/1071 [04:25<29:53,  1.83s/it]
  Quality images:   9%|▉         | 94/1071 [05:40<6:24:55, 23.64s/it]
  Quality images:   9%|▉         | 95/1071 [05:40<4:32:18, 16.74s/it]
  Quality images:   9%|▉         | 96/1071 [05:41<3:13:58, 11.94s/it]
  Quality images:   9%|▉         | 97/1071 [05:42<2:19:39,  8.60s/it]
  Quality images:   9%|▉         | 98/1071 [05:43<1:42:28,  6.32s/it]
  Quality images:   9%|▉         | 99/1071 [05:44<1:15:30,  4.66s/it]
  Quality images:   9%|▉         | 100/1071 [05:44<55:40,  3.44s/it] 
  Quality images:   9%|▉         | 101/1071 [05:45<42:02,  2.60s/it]
  Quality images:  10%|▉         | 102/1071 [05:46<32:37,  2.02s/it]
  Quality images:  10%|▉         | 103/1071 [05:47<27:33,  1.71s/it]
  Quality images:  10%|▉         | 104/1071 [05:48<23:36,  1.47s/it]
  Quality images:  10%|▉         | 105/1071 [06:01<1:19:26,  4.93s/it]
  Quality images:  10%|▉         | 106/1071 [06:02<1:01:11,  3.80s/it]
  Quality images:  10%|▉         | 107/1071 [06:04<51:20,  3.20s/it]  
  Quality images:  10%|█         | 108/1071 [06:09<1:02:49,  3.91s/it]
  Quality images:  10%|█         | 109/1071 [06:10<47:12,  2.94s/it]  
  Quality images:  10%|█         | 110/1071 [06:11<37:20,  2.33s/it]
  Quality images:  10%|█         | 111/1071 [06:12<30:11,  1.89s/it]
  Quality images:  10%|█         | 112/1071 [06:12<25:06,  1.57s/it]
  Quality images:  11%|█         | 113/1071 [06:13<22:18,  1.40s/it]
  Quality images:  11%|█         | 114/1071 [06:14<18:31,  1.16s/it]
  Quality images:  11%|█         | 115/1071 [06:15<16:33,  1.04s/it]
  Quality images:  11%|█         | 116/1071 [06:16<15:33,  1.02it/s]
  Quality images:  11%|█         | 117/1071 [06:16<15:12,  1.05it/s]
  Quality images:  11%|█         | 118/1071 [06:17<14:14,  1.12it/s]
  Quality images:  11%|█         | 119/1071 [06:18<12:46,  1.24it/s]
  Quality images:  11%|█         | 120/1071 [06:19<12:37,  1.26it/s]
  Quality images:  11%|█▏        | 121/1071 [06:26<43:44,  2.76s/it]
  Quality images:  11%|█▏        | 122/1071 [06:35<1:13:47,  4.67s/it]
  Quality images:  11%|█▏        | 123/1071 [07:04<3:06:44, 11.82s/it]
  Quality images:  12%|█▏        | 124/1071 [07:09<2:35:06,  9.83s/it]
  Quality images:  12%|█▏        | 125/1071 [07:09<1:51:32,  7.07s/it]
  Quality images:  12%|█▏        | 126/1071 [07:14<1:41:57,  6.47s/it]
  Quality images:  12%|█▏        | 127/1071 [07:15<1:14:15,  4.72s/it]
  Quality images:  12%|█▏        | 128/1071 [07:18<1:07:38,  4.30s/it]
  Quality images:  12%|█▏        | 129/1071 [07:19<49:50,  3.17s/it]  
  Quality images:  12%|█▏        | 130/1071 [07:20<38:09,  2.43s/it]
  Quality images:  12%|█▏        | 131/1071 [07:20<29:12,  1.86s/it]
  Quality images:  12%|█▏        | 132/1071 [07:26<48:30,  3.10s/it]
  Quality images:  12%|█▏        | 133/1071 [07:27<36:52,  2.36s/it]
  Quality images:  13%|█▎        | 134/1071 [07:28<32:05,  2.06s/it]
  Quality images:  13%|█▎        | 135/1071 [07:32<41:02,  2.63s/it]
  Quality images:  13%|█▎        | 136/1071 [07:33<31:48,  2.04s/it]
  Quality images:  13%|█▎        | 137/1071 [07:34<26:27,  1.70s/it]
  Quality images:  13%|█▎        | 138/1071 [07:34<22:09,  1.42s/it]
  Quality images:  13%|█▎        | 139/1071 [07:35<18:41,  1.20s/it]
  Quality images:  13%|█▎        | 140/1071 [07:36<16:19,  1.05s/it]
  Quality images:  13%|█▎        | 141/1071 [07:37<16:37,  1.07s/it]
  Quality images:  13%|█▎        | 142/1071 [08:46<5:32:41, 21.49s/it]
  Quality images:  13%|█▎        | 143/1071 [08:53<4:26:24, 17.22s/it]
  Quality images:  13%|█▎        | 144/1071 [09:01<3:43:16, 14.45s/it]
  Quality images:  14%|█▎        | 145/1071 [09:09<3:11:43, 12.42s/it]
  Quality images:  14%|█▎        | 146/1071 [09:10<2:18:01,  8.95s/it]
  Quality images:  14%|█▎        | 147/1071 [09:11<1:41:31,  6.59s/it]
  Quality images:  14%|█▍        | 148/1071 [09:12<1:15:00,  4.88s/it]
  Quality images:  14%|█▍        | 149/1071 [09:13<57:12,  3.72s/it]  
  Quality images:  14%|█▍        | 150/1071 [09:14<43:33,  2.84s/it]
  Quality images:  14%|█▍        | 151/1071 [09:14<33:32,  2.19s/it]
  Quality images:  14%|█▍        | 152/1071 [09:19<47:03,  3.07s/it]
  Quality images:  14%|█▍        | 153/1071 [09:20<36:38,  2.39s/it]
  Quality images:  14%|█▍        | 154/1071 [09:22<31:18,  2.05s/it]
  Quality images:  14%|█▍        | 155/1071 [09:28<52:01,  3.41s/it]
  Quality images:  15%|█▍        | 156/1071 [09:29<38:53,  2.55s/it]
